project,location,creek,year,metal,value,detected
KGM,Lower Slate Creek,LSC,2011,Ag,0.134,y
KGM,Lower Slate Creek,LSC,2012,Ag,0.145,y
KGM,Lower Slate Creek,LSC,2013,Ag,0.168,y
KGM,Lower Slate Creek,LSC,2014,Ag,0.08,y
KGM,Lower Slate Creek,LSC,2015,Ag,0.07,y
KGM,Lower Slate Creek,LSC,2016,Ag,0.076,y
KGM,Lower Slate Creek,LSC,2011,Al,13600,y
KGM,Lower Slate Creek,LSC,2012,Al,13600,y
KGM,Lower Slate Creek,LSC,2013,Al,12300,y
KGM,Lower Slate Creek,LSC,2014,Al,12000,y
KGM,Lower Slate Creek,LSC,2015,Al,12000,y
KGM,Lower Slate Creek,LSC,2016,Al,13100,y
KGM,Lower Slate Creek,LSC,2011,As,16.2,y
KGM,Lower Slate Creek,LSC,2012,As,9.31,y
KGM,Lower Slate Creek,LSC,2013,As,23.7,y
KGM,Lower Slate Creek,LSC,2014,As,20.1,y
KGM,Lower Slate Creek,LSC,2015,As,14.9,y
KGM,Lower Slate Creek,LSC,2016,As,17.5,y
KGM,Lower Slate Creek,LSC,2011,Cd,1.46,y
KGM,Lower Slate Creek,LSC,2012,Cd,1.22,y
KGM,Lower Slate Creek,LSC,2013,Cd,1.29,y
KGM,Lower Slate Creek,LSC,2014,Cd,1.21,y
KGM,Lower Slate Creek,LSC,2015,Cd,0.53,y
KGM,Lower Slate Creek,LSC,2016,Cd,0.673,y
KGM,Lower Slate Creek,LSC,2011,Cr,29.4,y
KGM,Lower Slate Creek,LSC,2012,Cr,32,y
KGM,Lower Slate Creek,LSC,2013,Cr,94.5,y
KGM,Lower Slate Creek,LSC,2014,Cr,20,y
KGM,Lower Slate Creek,LSC,2015,Cr,18.9,y
KGM,Lower Slate Creek,LSC,2016,Cr,21.1,y
KGM,Lower Slate Creek,LSC,2011,Cu,56.7,y
KGM,Lower Slate Creek,LSC,2012,Cu,50.7,y
KGM,Lower Slate Creek,LSC,2013,Cu,56.7,y
KGM,Lower Slate Creek,LSC,2014,Cu,51.1,y
KGM,Lower Slate Creek,LSC,2015,Cu,39.1,y
KGM,Lower Slate Creek,LSC,2016,Cu,37.5,y
KGM,Lower Slate Creek,LSC,2011,Hg,0.0502,y
KGM,Lower Slate Creek,LSC,2012,Hg,0.0994,y
KGM,Lower Slate Creek,LSC,2013,Hg,0.0402,y
KGM,Lower Slate Creek,LSC,2014,Hg,0.06,y
KGM,Lower Slate Creek,LSC,2015,Hg,0.04,y
KGM,Lower Slate Creek,LSC,2016,Hg,0.057,y
KGM,Lower Slate Creek,LSC,2011,Ni,47.4,y
KGM,Lower Slate Creek,LSC,2012,Ni,43.2,y
KGM,Lower Slate Creek,LSC,2013,Ni,73.4,y
KGM,Lower Slate Creek,LSC,2014,Ni,40.8,y
KGM,Lower Slate Creek,LSC,2015,Ni,30,y
KGM,Lower Slate Creek,LSC,2016,Ni,33.8,y
KGM,Lower Slate Creek,LSC,2011,Pb,7.79,y
