project,location,creek,year,metal,value
KGM,Lower Slate Creek,LSC,2011,Ag,0.134
KGM,Lower Slate Creek,LSC,2012,Ag,0.145
KGM,Lower Slate Creek,LSC,2013,Ag,0.168
KGM,Lower Slate Creek,LSC,2014,Ag,0.08
KGM,Lower Slate Creek,LSC,2015,Ag,0.07
KGM,Lower Slate Creek,LSC,2016,Ag,0.076
KGM,Lower Slate Creek,LSC,2011,Al,13600
KGM,Lower Slate Creek,LSC,2012,Al,13600
KGM,Lower Slate Creek,LSC,2013,Al,12300
KGM,Lower Slate Creek,LSC,2014,Al,12000
KGM,Lower Slate Creek,LSC,2015,Al,12000
KGM,Lower Slate Creek,LSC,2016,Al,13100
KGM,Lower Slate Creek,LSC,2011,As,16.2
KGM,Lower Slate Creek,LSC,2012,As,9.31
KGM,Lower Slate Creek,LSC,2013,As,23.7
KGM,Lower Slate Creek,LSC,2014,As,20.1
KGM,Lower Slate Creek,LSC,2015,As,14.9
KGM,Lower Slate Creek,LSC,2016,As,17.5
KGM,Lower Slate Creek,LSC,2011,Cd,1.46
KGM,Lower Slate Creek,LSC,2012,Cd,1.22
KGM,Lower Slate Creek,LSC,2013,Cd,1.29
KGM,Lower Slate Creek,LSC,2014,Cd,1.21
KGM,Lower Slate Creek,LSC,2015,Cd,0.53
KGM,Lower Slate Creek,LSC,2016,Cd,0.673
KGM,Lower Slate Creek,LSC,2011,Cr,29.4
KGM,Lower Slate Creek,LSC,2012,Cr,32
KGM,Lower Slate Creek,LSC,2013,Cr,94.5
KGM,Lower Slate Creek,LSC,2014,Cr,20
KGM,Lower Slate Creek,LSC,2015,Cr,18.9
KGM,Lower Slate Creek,LSC,2016,Cr,21.1
KGM,Lower Slate Creek,LSC,2011,Cu,56.7
KGM,Lower Slate Creek,LSC,2012,Cu,50.7
KGM,Lower Slate Creek,LSC,2013,Cu,56.7
KGM,Lower Slate Creek,LSC,2014,Cu,51.1
KGM,Lower Slate Creek,LSC,2015,Cu,39.1
KGM,Lower Slate Creek,LSC,2016,Cu,37.5
KGM,Lower Slate Creek,LSC,2011,Hg,0.0502
KGM,Lower Slate Creek,LSC,2012,Hg,0.0994
KGM,Lower Slate Creek,LSC,2013,Hg,0.0402
KGM,Lower Slate Creek,LSC,2014,Hg,0.06
KGM,Lower Slate Creek,LSC,2015,Hg,0.04
KGM,Lower Slate Creek,LSC,2016,Hg,0.057
KGM,Lower Slate Creek,LSC,2011,Ni,47.4
KGM,Lower Slate Creek,LSC,2012,Ni,43.2
KGM,Lower Slate Creek,LSC,2013,Ni,73.4
KGM,Lower Slate Creek,LSC,2014,Ni,40.8
KGM,Lower Slate Creek,LSC,2015,Ni,30
KGM,Lower Slate Creek,LSC,2016,Ni,33.8
KGM,Lower Slate Creek,LSC,2011,Pb,7.79
KGM,Lower Slate Creek,LSC,2012,Pb,8.45
KGM,Lower Slate Creek,LSC,2013,Pb,9.14
KGM,Lower Slate Creek,LSC,2014,Pb,8.78
KGM,Lower Slate Creek,LSC,2015,Pb,6.86
KGM,Lower Slate Creek,LSC,2016,Pb,7
KGM,Lower Slate Creek,LSC,2011,Se,0.72
KGM,Lower Slate Creek,LSC,2012,Se,
KGM,Lower Slate Creek,LSC,2013,Se,1.94
KGM,Lower Slate Creek,LSC,2014,Se,1.3
KGM,Lower Slate Creek,LSC,2015,Se,0.7
KGM,Lower Slate Creek,LSC,2016,Se,1.4
KGM,Lower Slate Creek,LSC,2011,Zn,220
KGM,Lower Slate Creek,LSC,2012,Zn,200
KGM,Lower Slate Creek,LSC,2013,Zn,205
KGM,Lower Slate Creek,LSC,2014,Zn,189
KGM,Lower Slate Creek,LSC,2015,Zn,131
KGM,Lower Slate Creek,LSC,2016,Zn,177
KGM,East Fork Slate Creek,EFSC,2011,Ag,0.233
KGM,East Fork Slate Creek,EFSC,2012,Ag,0.513
KGM,East Fork Slate Creek,EFSC,2013,Ag,0.334
KGM,East Fork Slate Creek,EFSC,2014,Ag,0.14
KGM,East Fork Slate Creek,EFSC,2015,Ag,0.12
